idBulan,metode,nama,instansi,lokasi,jenis,waktu,idMetode,id,pagu,idJenisPengadaan,satuanKerja,preprocessing,kategori_kmeans,kategori_lda
1,e-Purchasing,"Pengadaan Alat Pengolah Data, Komunikasi dan Perangkat Audio Visual",Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Jawa Barat-Bandung (Kab.), ","Barang, ",2020-01-01,9,22745325,200000000,0,PUSAT PENELITIAN DAN PENGEMBANGAN PERUMAHAN DAN PERMUKIMAN,pengadaan alat pengolah data komunikasi perangkat audio visual,12,3
1,Tender,Pembangunan Rumah Susun  Jawa Barat 5 (RSNMBR-20-05-JBR),Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Jawa Barat-Bandung (Kota), ","Pekerjaan Konstruksi, ",2020-01-01,13,22745110,31363000000,0,SNVT PENYEDIAAN PERUMAHAN PROVINSI JAWA BARAT,pembangunan rumah susun jawa barat 5 rsnmbr-20-05-jbr,19,0
1,Tender,Pengadaan Meubelair UNIV. RIS MADUMA,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Sumatera Utara-Medan (Kota), ","Barang, ",2020-01-01,13,22745042,1362000000,0,SNVT PENYEDIAAN PERUMAHAN PROVINSI SUMATERA UTARA,pengadaan meubelair univ ris maduma,17,5
1,Seleksi,Review DED Rumah Susun,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Jawa Barat-Bandung (Kota), ","Jasa Konsultansi, ",2020-01-01,15,22745115,100000000,0,SNVT PENYEDIAAN PERUMAHAN PROVINSI JAWA BARAT,review ded rumah susun,5,10
1,Tender,Pengadaan Meubelair Rumah Susun Mahasiswa Jawa Barat 2 (MBLRSN-MHS-20-02-JBR),Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Jawa Barat-Bandung (Kota), ","Barang, ",2020-01-01,13,22745118,2782000000,0,SNVT PENYEDIAAN PERUMAHAN PROVINSI JAWA BARAT,pengadaan meubelair rumah susun mahasiswa jawa barat 2 mblrsn-mhs-20-02-jbr,18,5
1,Tender,Pembangunan Rumah Susun ASN Provinsi Kalimantan Utara,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Kalimantan Utara-Bulungan (Kab.), ","Pekerjaan Konstruksi, ",2020-01-01,13,22745302,24997000000,0,SNVT PENYEDIAAN PERUMAHAN PROVINSI KALIMANTAN UTARA,pembangunan rumah susun asn provinsi kalimantan utara,19,0
1,Pengadaan Langsung,Perangkat Data dan Informasi,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Barang, ",2020-01-01,8,22741822,600140000,0,DIREKTORAT PENGEMBANGAN PENYEHATAN LINGKUNGAN PERMUKIMAN,perangkat data informasi,12,1
1,Tender,Peningkatan Konektivitas Wilayah Pulau Kecil Terluar Pulau Sumatera dan Jawa-Bali Dalam Rangka Pembukaan Keterisolasian dan Pengurangan Disparitas,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Jasa Konsultansi, ",2020-01-01,13,22745360,2000000000,0,PUSAT PERENCANAAN INFASTRUKTUR PUPR,peningkatan konektivitas wilayah pulau kecil terluar pulau sumatera jawa-bali rangka pembukaan keterisolasian pengurangan disparitas,17,1
1,Pengadaan Langsung,Pengadaan Kendaraan Operasional,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Barang, ",2020-01-01,8,22741821,503860000,0,DIREKTORAT PENGEMBANGAN PENYEHATAN LINGKUNGAN PERMUKIMAN,pengadaan kendaraan operasional,7,4
1,Seleksi,KONSULTAN BASELINE DAN VERIFIKASI PROGRAM HIBAH AIR MINUM WILAYAH 1,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Jasa Konsultansi, ",2020-01-01,15,22741812,10000000000,0,DIREKTORAT PENGEMBANGAN SISTEM PENYEDIAAN AIR MINUM,konsultan baseline verifikasi program hibah air minum wilayah 1,8,0
